Time,Message
20.64571,-0.9
20.6504,-0.9
20.6547,-0.9
20.6747,-0.9
20.68156,-0.9
20.68624,-0.9
20.69116,-0.9
20.71244,-0.9
20.74981,-0.9
20.75853,-0.9
20.76505,-0.9
20.79359,-0.9
20.82239,-0.9
20.83033,-0.9
20.86015,-0.9
20.86506,-0.9
20.87031,-0.9
20.87992,-0.9
20.90237,-0.9
20.91435,-0.9
20.93837,-0.9
20.96803,-0.9
21.00766,-0.9
21.01199,-0.9
21.03475,-0.9
21.04185,-0.9
21.07846,-0.9
21.08584,-0.9
21.10446,-0.9
21.10868,-0.9
21.112,-0.9
21.14129,-0.9
21.14563,-0.9
21.1497,-0.9
21.15379,-0.9
21.17795,-0.9
21.18498,-0.9
21.19197,-0.9
21.21187,-0.9
21.2199,-0.9
21.22685,-0.9
21.25389,-0.9
21.26435,-0.9
21.28867,-0.9
21.29539,-0.9
21.32809,-0.9
21.33289,-0.9
21.33852,-0.9
21.35937,-0.9
21.40094,-0.9
21.42094,-0.9
21.43973,-0.9
21.44583,-0.9
21.45273,-0.9
21.47393,-0.9
21.47825,-0.9
21.48192,-0.9
21.48909,-0.9
21.49339,-0.9
21.51483,-0.9
21.51945,-0.9
21.5242,-0.9
21.59167,-0.9
21.63357,-0.9
21.66579,-0.9
21.67282,-0.9
21.69941,-0.9
21.72769,-0.9
21.75124,-0.9
21.77318,-0.9
21.80268,-0.9
21.80754,-0.9
21.82707,-0.9
21.83063,-0.9
21.83772,-0.9
21.84101,-0.9
21.86318,-0.9
21.8696,-0.9
21.8751,-0.9
21.89725,-0.9
21.90108,-0.9
21.90528,-0.9
21.9098,-0.9
21.92953,-0.9
21.93439,-0.9
21.96426,-0.9
21.99732,-0.9
22.00114,-0.9
22.00559,-0.9
22.01032,-0.9
22.01472,-0.9
22.03564,-0.9
22.04343,-0.9
22.05183,-0.9
22.07729,-0.9
22.08538,-0.9
22.1129,-0.9
22.12558,-0.9
22.15171,-0.9
22.15877,-0.9
22.18416,-0.9
22.19545,-0.9
22.21855,-0.9
22.24912,-0.9
22.27076,-0.9
22.27498,-0.9
22.27855,-0.9
22.28318,-0.9
22.3028,-0.9
22.31007,-0.9
22.31779,-0.9
22.33716,-0.9
22.37219,-0.9
22.3798,-0.9
22.38694,-0.9
22.41868,-0.9
22.44783,-0.9
22.48077,-0.9
22.48543,-0.9
22.48898,-0.9
22.49886,-0.9
22.51941,-0.9
22.52378,-0.9
22.52876,-0.9
22.55367,-0.9
22.59904,-0.9
22.60532,-0.9
22.66241,-0.9
22.68974,-0.9
22.69664,-0.9
22.71938,-0.9
22.72411,-0.9
22.72927,-0.9
22.73594,-0.9
22.76172,-0.9
22.78909,-0.9
22.80886,-0.9
22.81407,-0.9
22.82177,-0.9
22.82638,-0.9
22.84918,-0.9
22.85663,-0.9
22.87881,-0.9
22.91842,-0.9
22.92666,-0.9
22.93179,-0.9
22.93534,-0.9
22.9539,-0.9
22.99062,-0.9
22.99821,-0.9
23.00186,-0.9
23.02346,-0.9
23.03156,-0.9
23.03612,-0.9
23.03992,-0.9
23.06232,-0.9
23.0701,-0.9
23.09449,-0.9
23.10338,-0.9
23.13814,-0.9
23.14278,-0.9
23.14731,-0.9
23.16942,-0.9
23.1745,-0.9
23.18204,-0.9
23.20292,-0.9
23.22603,-0.9
23.24826,-0.9
23.25662,-0.9
23.26113,-0.9
23.28403,-0.9
23.28813,-0.9
23.29469,-0.9
23.31434,-0.9
23.32199,-0.9
23.32632,-0.9
23.34997,-0.9
23.35803,-0.9
23.36533,-0.9
23.3852,-0.9
23.3902,-0.9
23.39754,-0.9
23.40391,-0.9
23.42546,-0.9
23.42972,-0.9
23.43679,-0.9
23.44112,-0.9
23.46092,-0.9
23.46896,-0.9
23.47588,-0.9
23.49604,-0.9
23.50052,-0.9
23.50436,-0.9
23.50834,-0.9
23.51183,-0.9
23.53386,-0.9
23.54148,-0.9
23.54645,-0.9
23.56791,-0.9
23.5721,-0.9
23.57579,-0.9
23.58294,-0.9
23.61317,-0.9
23.62096,-0.9
23.66303,-0.9
23.70734,-0.9
23.72691,-0.9
23.76237,-0.9
23.76989,-0.9
23.77448,-0.9
23.78021,-0.9
23.81326,-0.9
23.85132,-0.9
23.88241,-0.9
23.88801,-0.9
23.90934,-0.9
23.91427,-0.9
23.91949,-0.9
23.92442,-0.9
23.95074,-0.9
23.95612,-0.9
23.96106,-0.9
23.98806,-0.9
23.99422,-0.9
24.01344,-0.9
24.02018,-0.9
24.02499,-0.9
24.04597,-0.9
24.05261,-0.9
24.06055,-0.9
24.09016,-0.9
24.11647,-0.9
24.13958,-0.9
24.14822,-0.9
24.16699,-0.9
24.17455,-0.9
24.17878,-0.9
24.20152,-0.9
24.20918,-0.9
24.22389,-0.9
24.25247,-0.9
24.25981,-0.9
24.28273,-0.9
24.31399,-0.9
24.35154,-0.9
24.38349,-0.9
24.39058,-0.9
24.43016,-0.9
24.45703,-0.9
24.46165,-0.9
24.46906,-0.9
24.49121,-0.9
24.495,-0.9
24.52686,-0.9
24.5485,-0.9
24.5711,-0.9
24.57603,-0.9
24.58146,-0.9
24.61176,-0.9
24.70125,-0.9
24.72669,-0.9
24.73295,-0.9
24.75315,-0.9
24.75747,-0.9
24.76072,-0.9
24.76451,-0.9
24.76829,-0.9
24.77286,-0.9
24.7963,-0.9
24.80203,-0.9
24.80808,-0.9
24.83462,-0.9
24.83912,-0.9
24.84407,-0.9
24.87799,-0.9
24.91086,-0.9
24.9328,-0.9
24.94093,-0.9
24.96272,-0.9
24.96644,-0.9
24.97034,-0.9
24.97456,-0.9
24.97814,-0.9
24.99739,-0.9
25.00205,-0.9
25.03605,-0.9
25.04028,-0.9
25.06919,-0.9
25.10654,-0.9
25.11034,-0.9
25.11467,-0.9
25.1455,-0.9
25.15153,-0.9
25.16016,-0.9
25.19067,-0.9
25.19464,-0.9
25.21302,-0.9
